nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Jardin Lecoq,FR07009,urbaine,fond,Particules PM10,5,µg/m3,14,t,t,annuelle,6519176.5,706799.9375,1
Allier,Paray-le-Frésil,03203,1514764800000,1546300800000,Paray le Fresil,FR07022,rurale régionale,fond,Particules PM10,5,µg/m3,10.5,t,t,annuelle,6617129.5,745935.5625,2
Puy-de-Dôme,Les Ancizes-Comps,63004,1514764800000,1546300800000,Les Ancizes,FR07028,périurbaine,industrielle,Particules PM10,5,µg/m3,10.9,t,t,annuelle,6536640.5,686811.3125,3
Cantal,Rageade,15158,1514764800000,1546300800000,Rageade,FR07031,rurale régionale,fond,Particules PM10,5,µg/m3,,,,annuelle,6445088,721814.9375,4
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Clermont-Esplanade Gare,FR07034,urbaine,trafic,Particules PM10,5,µg/m3,17.1,t,t,annuelle,6519569.5,707479.4375,5
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Site autoroutier A71,FR07042,urbaine,trafic,Particules PM10,5,µg/m3,16.8,t,t,annuelle,6520497,711110.625,6
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Beaulieu,FR07051,périurbaine,industrielle,Particules PM10,5,µg/m3,13.5,t,t,annuelle,6518833,712046.25,7
Cantal,Aurillac,15014,1514764800000,1546300800000,Aurillac-Lagarde,FR07052,urbaine,fond,Particules PM10,5,µg/m3,9.7,t,t,annuelle,6424698.5,655895.125,8
Haute-Loire,Le Puy-en-Velay,43157,1514764800000,1546300800000,Le Puy-Causans,FR07054,urbaine,fond,Particules PM10,5,µg/m3,12.1,t,t,annuelle,6438143,769845,9
Haute-Loire,Fay-sur-Lignon,43092,1514764800000,1546300800000,Pays du Mezenc,FR07056,rurale régionale,fond,Particules PM10,5,µg/m3,7.2,t,t,annuelle,6432366.5,796632.625,10
Allier,Moulins,03190,1514764800000,1546300800000,Moulins Centre,FR07057,urbaine,fond,Particules PM10,5,µg/m3,,,,annuelle,6606939,726093.75,11
Allier,Montluçon,03185,1514764800000,1546300800000,Montluçon,FR07058,urbaine,fond,Particules PM10,5,µg/m3,,,,annuelle,6582391.5,668768.9375,12
Allier,Vichy,03310,1514764800000,1546300800000,Vichy,FR07059,urbaine,fond,Particules PM10,5,µg/m3,15,t,t,annuelle,6559047,732867,13
Isère,Fontaine,38169,1514764800000,1546300800000,Fontaine Les Balmes,FR15017,urbaine,fond,Particules PM10,5,µg/m3,13.5,f,t,annuelle,6458159,910970.625,14
Isère,Voiron,38563,1514764800000,1546300800000,Voiron Urbain,FR15018,urbaine,fond,Particules PM10,5,µg/m3,16,t,t,annuelle,6476744,902696.5,15
Isère,Saint-Martin-d'Hères,38421,1514764800000,1546300800000,St Martin dHeres,FR15038,urbaine,fond,Particules PM10,5,µg/m3,18.6,t,t,annuelle,6457490.5,916190.875,16
Isère,Échirolles,38151,1514764800000,1546300800000,Le Rondeau,FR15039,urbaine,trafic,Particules PM10,5,µg/m3,0,f,t,annuelle,6454644,912411.125,17
Isère,Grenoble,38185,1514764800000,1546300800000,Grenoble Les Frenes,FR15043,urbaine,fond,Particules PM10,5,µg/m3,0,f,t,annuelle,6455123,914897.625,18
Isère,Vif,38545,1514764800000,1546300800000,Grenoble PeriurbSud,FR15045,périurbaine,fond,Particules PM10,5,µg/m3,0,f,t,annuelle,6443409.5,910664.3125,19
